TEI,TPRES,Category,
dimensions,dimSpec,Element,
distinct,distinctText,Element,
distributor,distributorOrg,Element,
district,districtIdent,Element,
divGen,divGen,Element,
docAuthor,docAuthor,Element,
docDate,docDate,Element,
docEdition,docEdition,Element,
docImprint,docImprint,Element,
docketNum,docketNum,Element,
docTitle,docTitle,Element,
domain,domainChar,Element,
ex,edExpansion,Element,
edition,editionDesc,Element,
editionStmt,editionStmt,Element,
editorialDecl,editorialDecl,Element,
editor,editorName,Element,
education,eduDesc,Element,
eg,egUsage,Element,
egXML,egXML,Element,
elementRef,elementRef,Element,
elementSpec,elementSpec,Element,
elisionText,elisionText,Element,
email,emailAddress,Element,
emph,emphaSized,Element,
encodingDesc,encodingDesc,Element,
endNote,endNote,Element,
entryFree,entryFree,Element,
entry,entryItem,Element,
epilogue,epilogueText,Element,
equipment,equipmentSpecs,Element,
equiv,equivElement,Element,
eTree,eTree,Element,
etym,etymInfo,Element,
event,eventDesc,Element,
exemplum,exemplumDemo,Element,
explicit,explicitWords,Element,
extent,extentFile,Element,
facsimile,facsimileImage,Element,
bibf,factCite,Element,
factCite,factCite,Element,
factuality,factualityChar,Element,
fDescr,fDescr,Element,
fs,featureStruc,Element,
figDesc,figDesc,Element,
figure,figureCont,Element,
fileDesc,fileDesc,Element,
filiation,filiationStruc,Element,
finalRubric,finalRubric,Element,
fLib,fLib,Element,
floatingText,floatingText,Element,
floruit,floruitPeriod,Element,
foliation,foliationSys,Element,
followCite,followCite,Element,
footNote,footNote,Element,
foreign,foreignLang,Element,
forename,foreName,Element,
forest,forestGrp,Element,
fw,formeWork,Element,
form,formGrp,Element,
formula,formulaCont,Element,
fsdDecl,fsdDecl,Element,
fsDescr,fsDescr,Element,
funder,fundingOrg,Element,
fvLib,fvLib,Element,
gap,gapText,Element,
gb,gatheringBegin,Element,
gen,genderItem,Element,
genderPers,genderPers,Element,
generalCite,generalCite,Element,
title,generalTitle,Element,
gi,genericIdent,Element,
genName,genName,Element,
geo,geoCoord,Element,
geoDecl,geogDecl,Element,
geogFeat,geogFeat,Element,
geogName,geogName,Element,
gloss,glossText,Element,
gram,gramInfo,Element,
gramGrp,gramGrp,Element,
graphic,graphicLoc,Element,
graph,graphWrap,Element,
g,gSym,Element,
handDesc,handDesc,Element,
handNote,handNote,Element,
handNotes,handNotes,Element,
handShift,handShift,Element,
head,headDiv,Element,
headItem,headItem,Element,
headLabel,headLabel,Element,
headNote,headNote,Element,
height,heightMeasure,Element,
heraldry,heraldicInfo,Element,
history,historyMs,Element,
hi,hiText,Element,
hom,homoGraph,Element,
hyphenation,hyphenationPol,Element,
hyph,hyphenForm,Element,
name,identGenl,Element,
idno,identNum,Element,
ident,identToken,Element,
imprimatur,imprimaturStmt,Element,
imprint,imprintInfo,Element,
incident,incidentDesc,Element,
incipit,incipitWords,Element,
index,indexEntry,Element,
institution,institutionName,Element,
interaction,interactionChar,Element,
internalCite,internalCite,Element,
interpGrp,interpGrp,Element,
interp,interpNote,Element,
interpretation,interpretationPol,Element,
argument,issueItem,Element,
issueList,issueList,Element,
item,itemEntry,Element,
iType,iType,Element,
joinGrp,joinGrp,Element,
join,joinText,Element,
jurisStmt,jurisStmt,Element,
keywords,keyWords,Element,
kinesic,kindesicDesc,Element,
label,labelEntry,Element,
lbl,labelInfo,Element,
language,langIdent,Element,
langKnowledge,langKnowledge,Element,
langKnown,langKnown,Element,
lang,langName,Element,
langUsage,langUsage,Element,
lawyerGrp,lawyerGrp,Element,
layoutDesc,layoutDesc,Element,
layout,layoutPage,Element,
legalCite,legalCite,Element,
legisExpression,legisExpression,Element,
legisManifestation,legisManifestation,Element,
legisWork,legisWork,Element,
lem,lemBase,Element,
licence,licenceInfo,Element,
lb,lineBegin,Element,
lg,lineGroup,Element,
path,linePath,Element,
line,lineText,Element,
l,lineVerse,Element,
link,linkGeneric,Element,
linkGrp,linkGrp,Element,
listApp,listApp,Element,
listBibl,listCite,Element,
listEvent,listEvent,Element,
listForest,listForest,Element,
list,listGeneric,Element,
list,listGenl,Element,
listNym,listNym,Element,
listObject,listObject,Element,
listOrg,listOrg,Element,
listPerson,listPerson,Element,
listPlace,listPlace,Element,
listPrefixDef,listPrefixDecl,Element,
listRef,listRef,Element,
listRelation,listRelation,Element,
listTranspose,listTranspose,Element,
listWit,listWit,Element,
locale,localeDesc,Element,
location,locationData,Element,
locus,locusDesc,Element,
locusGrp,locusGrp,Element,
macro.limitedContent,macro.limitedContent,Macro,
macro.paraContent,macro.paraContent,Macro,
macro.phraseSeq,macro.phraseSeq,Macro,
macro.phraseSeq.limited,macro.phraseSeq.limited,Macro,
macro.specialPara,macro.specialPara,Macro,
macro.xtext,macro.xtext,Macro,
macroRef,macroRef,Element,
macroSpec,macroSpec,Element,
material,materialDesc,Element,
back,matterBack,Element,
body,matterBody,Element,
matterDispose,matterDispose,Element,
div,matterDiv,Element,
front,matterFront,Element,
group,matterGroup,Element,
matterSyllabus,matterSyllabus,Element,
text,matterText,Element,
matterTitle,matterTitle,Element,
measureGrp,measureGrp,Element,
measure,measureQuant,Element,
media,mediaLoc,Element,
mentionCite,mentionCite,Element,
mentioned,mentionedText,Element,
metamark,metamark,Element,
metamarkIns,metamarkIns,Element,
metDecl,metDecl,Element,
metSym,metSym,Element,
milestone,milestonePoint,Element,
model.addlCiteParts,model.addlCiteParts,Model,
model.addressLike,model.addressLike,Model,
model.addrPart,model.addrPart,Model,
model.applicationLike,model.applicationLike,Model,
model.avaiabilityInfoPart,model.avaiabilityInfoPart,Model,
model.castItemPart,model.castItemPart,Model,
model.catDescPart,model.catDescPart,Model,
model.certLike,model.certLike,Model,
model.choicePart,model.choicePart,Model,
model.citeLike,model.citeLike,Model,
model.common,model.common,Model,
model.correspActionPart,model.correspActionPart,Model,
model.correspContextPart,model.correspContextPart,Model,
model.correspDescPart,model.correspDescPart,Model,
model.dateLike,model.dateLike,Model,
model.descLike,model.descLike,Model,
model.divBottom,model.divBottom,Model,
model.divBottomPart,model.divBottomPart,Model,
model.divGenLike,model.divGenLike,Model,
model.divLike,model.divLike,Model,
model.divPart,model.divPart,Model,
model.divTop,model.divTop,Model,
model.divTopPart,model.divTopPart,Model,
model.divWrapper,model.divWrapper,Model,
model.editorialDeclPart,model.editorialDeclPart,Model,
model.egLike,model.egLike,Model,
model.emphLike,model.emphLike,Model,
model.encodingDescPart,model.encodingDescPart,Model,
model.entryPart,model.entryPart,Model,
model.entryPart.top,model.entryPart.top,Model,
model.eventLike,model.eventLike,Model,
model.frontPart,model.frontPart,Model,
model.gLike,model.gLike,Model,
model.global,model.global,Model,
model.glossTextLike,model.glossTextLike,Model,
model.graphicLike,model.graphicLike,Model,
model.headLike,model.headLike,Model,
model.highlighted,model.highlighted,Model,
model.hiLike,model.hiLike,Model,
model.imprintPart,model.imprintPart,Model,
model.inter,model.inter,Model,
model.labelLike,model.labelLike,Model,
model.legalCiteParts,model.legalCiteParts,Model,
model.legisParts,model.legisParts,Model,
model.limitedPhrase,model.limitedPhrase,Model,
model.linePart,model.linePart,Model,
model.listAuth,model.listAuth,Model,
model.listLike,model.listLike,Model,
model.lLike,model.lLike,Model,
model.lPart,model.lPart,Model,
model.measureLike,model.measureLike,Model,
model.milestoneLike,model.milestoneLike,Model,
model.msItemPart,model.msItemPart,Model,
model.msQuoteLike,model.msQuoteLike,Model,
model.nameLike,model.nameLike,Model,
model.noteLike,model.noteLike,Model,
model.objectLike,model.objectLike,Model,
model.oddDecl,model.oddDecl,Model,
model.oddRef,model.oddRef,Model,
model.offsetLike,model.offsetLike,Model,
model.orgPart,model.orgPart,Model,
model.personIdentPart,model.personIdentPart,Model,
model.personPart,model.personPart,Model,
model.persStateLike,model.persStateLike,Model,
model.phrase,model.phrase,Model,
model.placeLike,model.placeLike,Model,
model.placeNamePart,model.placeNamePart,Model,
model.placeStateLike,model.placeStateLike,Model,
model.pLike,model.pLike,Model,
model.pLike.front,model.pLike.front,Model,
model.pPart.data,model.pPart.data,Model,
model.pPart.edit,model.pPart.edit,Model,
model.pPart.editorial,model.pPart.editorial,Model,
model.pPart.msdesc,model.pPart.msdesc,Model,
model.pPart.transcriptional,model.pPart.transcriptional,Model,
model.profileDescPart,model.profileDescPart,Model,
model.ptrLike,model.ptrLike,Model,
model.publicationStmtPart,model.publicationStmtPart,Model,
model.publicationStmtPart.detail,model.publicationStmtPart.detail,Model,
model.qLike,model.qLike,Model,
model.rdgLike,model.rdgLike,Model,
model.rdgPart,model.rdgPart,Model,
model.resourceLike,model.resourceLike,Model,
model.respLike,model.respLike,Model,
model.segLike,model.segLike,Model,
model.settingPart,model.settingPart,Model,
model.sourceDescPart,model.sourceDescPart,Model,
model.specDescLike,model.specDescLike,Model,
model.stageLike,model.stageLike,Model,
model.titlepagePart,model.titlepagePart,Model,
model.teiHeaderPart,model.tpresHeaderPart,Model,
modeldimLike,modeldimLike,Element,
modelfeatureVal,modelfeatureVal,Element,
mod,modGeneric,Element,
moduleRef,moduleRef,Element,
moduleSpec,moduleSpec,Element,
mood,moodGram,Element,
m,morphemeText,Element,
move,moveChar,Element,
msContents,msContents,Element,
msDesc,msDesc,Element,
msFrag,msFrag,Element,
msIdentifier,msIdentifier,Element,
msItem,msItem,Element,
msItemStruct,msItemStruct,Element,
msPart,msPart,Element,
musicNotation,musicNotation,Element,
nameLink,nameLink,Element,
namespace,nameSpace,Element,
nationality,nationalityInfo,Element,
normalization,normalizationPol,Element,
notatedMusic,notatedMusic,Element,
numeric,numericVal,Element,
num,numVal,Element,
number,numberInfo,Element,
nym,nymDef,Element,
object,objectDesc,Element,
objectDesc,objectDesc,Element,
objectName,objectIdent,Element,
objectIdentifier,objectIdentifier,Element,
objectType,objectType,Element,
occupation,occupationDesc,Element,
offset,offsetDir,Element,
omitRend,omitRend,Element,
opener,openerGrp,Element,
oralArgument,oralArgument,Element,
oRef,oRef,Element,
org,orgIdent,Element,
orgName,orgName,Element,
origDate,origDate,Element,
orig,origForm,Element,
origin,originMs,Element,
origPlace,origPlace,Element,
orth,orthoForm,Element,
otherCite,otherCite,Element,
outputRendition,outputRendition,Element,
pb,pageBreak,Element,
particDesc,particDesc,Element,
pos,partofSpeech,Element,
p,pBody,Element,
pause,pauseDesc,Element,
per,perGram,Element,
performance,performDesc,Element,
age,personAge,Element,
persona,personaInfo,Element,
birth,personBirth,Element,
death,personDeath,Element,
faith,personFaith,Element,
person,personGeneric,Element,
personGrp,personGrp,Element,
persName,personIdent,Element,
pfnBody,pfnBody,Element,
phr,phraseText,Element,
physDesc,physDesc,Element,
place,placeData,Element,
placeName,placeIdent,Element,
pointerLoc,pointerLoc,Element,
ptr,pointerLoc,Element,
population,populationInfo,Element,
address,postAddress,Element,
postBox,postBox,Element,
postCode,postCode,Element,
postscript,postScript,Element,
